id,Cijena,Stanje,Lokacija,Adresa,Kvadrata,Broj soba,Sprat,Vrsta grijanja,Vrsta poda,OLX ID,Broj pregleda,Godina izgradnje,Balkon,Kvadratura balkona,Lift,Parking,Garaža,Klima,Novogradnja,Alarm
33077848,449.900,Korišteno,Sarajevo - Centar,Titova ulica,133.0,5,3,Centralno (Plin),Parket,33077848,3754,Nije uneseno,Da,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno
33086019,99.900,Korišteno,"Sarajevo, Novi Grad",Petra Tiješića,89.0,4,5,Struja,Brodski,33086019,11417,2000-2009,Da,4,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33111468,169.000,Korišteno,"Sarajevo, Novi Grad",Hasana Sućeske,105.0,4,8,Centralno (gradsko),Parket,33111468,4183,Nije uneseno,Nije uneseno,Ni.e uneseno,Da,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno
33148456,330.000,Korišteno,Sarajevo - Centar,Ejuba Ademovića,98.0,4,Prizemlje,Centralno (Plin),Parket,33148456,6869,1990-1999,Da,5,Nije uneseno,Da,Da,Da,Nije uneseno,Da
33178176,Po dogovoru,Korišteno,"Sarajevo, Novi Grad",Trg Solidarnosti,68.0,3,11,Centralno (gradsko),Nije uneseno,33178176,9335,Nije uneseno,Da,Ni.e uneseno,Da,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33178413,199.900,Korišteno,Stari Grad,Avdage Šahinagića,80.0,3,3,Centralno (Plin),Nije uneseno,33178413,8569,Prije 1950,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno
33190575,205.000,Korišteno,Sarajevo - Centar,"Ciglane, Hakije Kulenovića",81.0,3,1,Centralno (gradsko),Parket,33190575,12944,1980-1989,Da,8,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33197234,Po dogovoru,Korišteno,Stari Grad,Golobrdica,95.0,4,Visoko prizemlje,Plin,Parket,33197234,2383,1970-1979,Da,6,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33200652,870.000,Novo,Novo Sarajevo,Bihaćka 9,741.0,5,2,Centralno (Plin),Nije uneseno,33200652,2645,2010-2019,Da,"6,5",Nije uneseno,Da,Da,Da,True,Da
33203464,Po dogovoru,Korišteno,Sarajevo - Centar,Merhemica trg,125.0,4,4,Centralno (gradsko),Parket,33203464,6356,1980-1989,Da,Ni.e uneseno,Da,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33208952,250.000,Korišteno,Novo Sarajevo,Nije uneseno,74.0,3,3,Centralno (gradsko),Nije uneseno,33208952,13557,Nije uneseno,Nije uneseno,Ni.e uneseno,Da,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33267277,Po dogovoru,Korišteno,Sarajevo - Centar,Skenderija,85.0,3,3,Ostalo,Parket,33267277,6609,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33267762,149.000,Korišteno,Ilidža,Stupska,67.0,3,10,Centralno (gradsko),Parket,33267762,2592,2010-2019,Da,Ni.e uneseno,Da,Da,Nije uneseno,Da,True,Nije uneseno
33279807,205.000,Novo,Novo Sarajevo,Dolac Malta,78.0,4,2,Centralno (Plin),Nije uneseno,33279807,7749,2010-2019,Da,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,True,Nije uneseno
33366007,585.000,Korišteno,Stari Grad,Obala Isa-bega Ishakovića,101.0,3,2,Centralno (Plin),Parket,33366007,6432,Nije uneseno,Da,2,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33368409,260.000,Korišteno,Stari Grad,Mula Mustafe Bašeskije,96.0,4,4,Centralno (Plin),Parket,33368409,3393,Nije uneseno,Da,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33388556,140.000,Korišteno,Ilidža,Tibra stup,86.77,3,13,Centralno (Kotlovnica),Nije uneseno,33388556,1272,Nije uneseno,Da,"1. balkon .e 4,52 m2 i 2. balkon .e 5m2",Da,Da,Nije uneseno,Da,True,Nije uneseno
33417814,155.000,Korišteno,Novo Sarajevo,Nije uneseno,157.0,4,1,Plin,Parket,33417814,3980,1980-1989,Da,14,Nije uneseno,Da,Da,Nije uneseno,Nije uneseno,Nije uneseno
33433130,149.000,Korišteno,Ilidža,Stupska,66.69,3,10,Centralno (Kotlovnica),Parket,33433130,4699,2010-2019,Da,Ni.e uneseno,Da,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno
33443190,Po dogovoru,Korišteno,Stari Grad,Tekija Čikma,75.0,3,1,Centralno (Plin),Parket,33443190,4247,Prije 1950,Da,Ni.e uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33453226,Po dogovoru,Korišteno,Novo Sarajevo,Milana Preloga,94.0,3,1,Centralno (gradsko),Parket,33453226,5546,2000-2009,Nije uneseno,Ni.e uneseno,Da,Da,Da,Da,True,Da
33477184,Po dogovoru,Korišteno,Stari Grad,Nije uneseno,66.0,3,4,Centralno (Plin),Nije uneseno,33477184,1195,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33490742,269.000,Korišteno,Sarajevo - Centar,Kranjčevićeva 7,112.83,4,5,Plin,Parket,33490742,4027,2000-2009,Da,"10,88",Nije uneseno,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno
33519244,270.000,Korišteno,Sarajevo - Centar,Halida Nazečića,90.0,3,Prizemlje,Centralno (Plin),Nije uneseno,33519244,3288,Nije uneseno,Nije uneseno,3,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33595956,225.000,Novo,Sarajevo - Centar,Bolnicka,82.0,3,14,Centralno (gradsko),Parket,33595956,9487,Nije uneseno,Nije uneseno,Ni.e uneseno,Da,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno
