id,Cijena,Stanje,Lokacija,Adresa,Kvadrata,Broj soba,Sprat,Vrsta grijanja,Vrsta poda,OLX ID,Broj pregleda,Godina izgradnje,Balkon,Kvadratura balkona,Lift,Parking,Garaža,Klima,Novogradnja,Alarm,x,y,Point
39676209,230.000,Korišteno,Stari Grad,Franjevačka,65.0,3,6,Centralno (Plin),Laminat,39676209,764,Nije uneseno,Da,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Da,True,Nije uneseno,43.856210961546914,18.434063857702625,"(43.856210961546914, 18.434063857702625)"
39677467,210.000,Korišteno,Stari Grad,Franjevačka,58.0,3,Visoko prizemlje,Centralno (Plin),Parket,39677467,1049,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.856180016106336,18.4312314449829,"(43.856180016106336, 18.4312314449829)"
39680295,137.000,Korišteno,"Sarajevo, Novi Grad",Mojmilo,64.0,3,5,Centralno (gradsko),Parket,39680295,973,1980-1989,Da,Ni.e uneseno,Da,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.84507050000001,18.3405089,"(43.84507050000001, 18.3405089)"
39685367,172.188,Korišteno,"Sarajevo, Novi Grad",Adema Buće,71.0,3,1,Plin,Parket,39685367,315,2010-2019,Nije uneseno,Ni.e uneseno,Da,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno,43.84507050000001,18.3405089,"(43.84507050000001, 18.3405089)"
39685823,170.000,Korišteno,Novo Sarajevo,Grbavička,71.0,3,15,Centralno (gradsko),Nije uneseno,39685823,3851,Nije uneseno,Nije uneseno,Ni.e uneseno,Da,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.85325548430427,18.39913334766846,"(43.85325548430427, 18.39913334766846)"
39686146,175.000,Korišteno,Sarajevo - Centar,Obala Kulina Bana,60.0,3,Visoko prizemlje,Centralno (Plin),Parket,39686146,898,1950-1959,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.85675372447014,18.423182863568115,"(43.85675372447014, 18.423182863568115)"
39686549,101.000,Korišteno,Ilidža,Dr. Silve Rizvanbegović,53.0,2,10,Centralno (gradsko),Parket,39686549,1349,2010-2020,Da,5,Da,Da,Nije uneseno,Da,True,Nije uneseno,43.84284429639988,18.332033027752686,"(43.84284429639988, 18.332033027752686)"
39687317,39.500,Korišteno,Novo Sarajevo,Muhameda efendije Pandze,17.0,1,2,Struja,Laminat,39687317,5120,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.86696341456087,18.400485181011966,"(43.86696341456087, 18.400485181011966)"
39689740,139.000,Korišteno,Ilidža,Stupska,56.0,3,3,Centralno (Plin),Parket,39689740,522,Nije uneseno,Nije uneseno,Ni.e uneseno,Da,Da,Nije uneseno,Nije uneseno,True,Nije uneseno,43.841714524254705,18.32596050654297,"(43.841714524254705, 18.32596050654297)"
39689937,143.646,Korišteno,"Sarajevo, Novi Grad",Adema Buće,59.0,3,1,Plin,Parket,39689937,838,2010-2019,Nije uneseno,Ni.e uneseno,Da,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno,43.84507050000001,18.3405089,"(43.84507050000001, 18.3405089)"
39690826,64.000,Korišteno,Stari Grad,Jekovac,49.0,2,Prizemlje,Plin,Nije uneseno,39690826,5006,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.8600326,18.4299869,"(43.8600326, 18.4299869)"
